City name;Airport Code;Airport Name
Franklin;FKL;Chess-Lambertin
Franklin;FKN;Municipal
Frederick;FDK;Municipal
Frederick;FDR;Municipal
Freeport;FEP;Albertus
Fremont;FET;Municipal
French Lick;FRH;Municipal
Frenchville;WFK;Frenchville
Fresh Water Bay;FRP;Fresh Water Bay
Fresno;FAT;Airterminal
Fresno;FCH;Fresno-Chandler
Friday Harbor;FRD;Friday Harbor
Friday Harbor SPB;FBS;Friday Harbor SPB
Fort Myers, Florida;FRR;Fort Meyers
Fryeburg;FRY;Fryeburg
Fullerton;FUL;Municipal
Funter Bay;FNR;SPB
Gabbs;GAB;Gabbs
Gadsden;GAD;Municipal
Gage;GAG;Gage
Gainesville;GNV;Gainesville Regional
Gainesville;GVL;Lee Gilmer Memorial
Gainesville;GLE;Municipal
Gaithersburg;GAI;Montgomery County
Gakona;GAK;Gakona
Galbraith Lake;GBH;Galbraith Lake
Galena;GAL;Galena
Galesburg;GBG;Galesburg
Galion;GQQ;Galion
Gallup;GUP;Senator Clark
Galveston;GLS;Scholes Field
Gambell;GAM;Gambell
Ganes Creek;GEK;Ganes Creek
Garden City;GCK;Municipal Airport
Garden City;JHC;Island Heliport
Gardner;GDM;Municipal
Gatlinburg;GKT;Gatlinburg
Gaylord;GLR;Otsego County
Georgetown;GED;Sussex County
Georgetown;GGE;Georgetown
Gettysburg;GTY;Gettysburg
Gillette;GCC;Campbell County
Glacier Creek;KGZ;Glacier Creek
Gladwin;GDW;Gladwin
Glasgow;GLW;Municipal
Glasgow;GGW;International
Glendale;JGX;Heliport
Glendale;GWV;Glendale
Glendive;GDV;Dawson Community
Glennallen;GLQ;Glennallen
Glens Falls;GFL;Warren County
Glenview;NBU;NAS
Glenwood Springs;GWS;Glenwood Springs
Glynco;NEA;Brunswick Golden Isles
Gold Beach;GOL;State
Golden Horn;GDH;SPB
Goldsboro;GSB;Seymour Johnson AFB
Golovin;GLV;Golovin
Gooding;GNG;Gooding
Goodland;GLD;Renner Field
Goodnews Bay;GNU;Goodnews Bay
Goodyear;GYR;Litchfield
Gordon;GRN;Gordon
Gordonsville;GVE;Municipal
Goshen;GSH;Goshen
Grand Canyon;JGC;Heliport
Grand Canyon;GCN;National Park
Grand Canyon;NGC;North Rim
Grand Canyon;FLG;Pulliam Field
Grand Forks;GFK;Grand Forks
Grand Island;GRI;Grand Island
Grand Junction;GJT;Walker Field
Grand Marais;GRM;Devils Track
Grand Rapids;GRR;Kent County Intl
Grand Rapids;GPZ;Grand Rapids
Grandview;GVW;Richards-Gebaur
Granite Mountain;GMT;Granite Mountain
Grants;GNT;Milan
Grantsburg;GTG;Municipal
Grayling;KGX;Grayling
Great Barrington;GBR;Great Barrington
Great Bend;GBD;Great Bend
Great Falls;GTF;International
Great Falls;GFA;Malmstrom AFB
Greeley;GXY;Weld County
Green Bay;GRB;Austin-straubel Field
Green River;RVR;Green River
Greenfield;GFD;Pope Field
Greenville;GRE;Municipal
Greenville;GLH;Greenville
Greenville;PGV;Pitt-Greenville
Greenville;GDC;Donaldson Center
Greenville;GMU;Downtown
Greenville;GSP;Greenville-Spartanbur
Greenville;GCY;Municipal
Greenville;GVT;Majors Field
Greenwood;GWO;Leflore
Greenwood;GRD;Greenwood
Greybull;GEY;South Big Horn County
Groton;ZGD;New London Rail
Gulf Shores;GUF;Edwards
Gulfport;GPT;Biloxi Regional
Gulkana;GKN;Gulkana
Gunnison;GUC;Gunnison
Gustavus;BQV;Bartlett SPB
Gustavus;GST;Gustavus Arpt
Guthrie;GOK;Guthrie
Guymon;GUY;Guymon
Hagerstown;HGR;Wash. County Regional
Haines;HNS;Municipal
Half Moon;HAF;Half Moon
Hamilton;HAB;Marion County
Hamilton;HAO;Hamilton
Hampton;HPT;Municipal
Hampton;LFI;Langley AFB
Hampton;ZWW;Newport News Rail
Hampton;ZWB;Williamsburg Rail
Hana;HNM;Hana
Hanapepe;PAK;Port Allen
Hancock;CMX;Houghton County
Hanksville;HVE;Intermediate
Hanna;HNX;Hanna
Hanus Bay;HBC;Hanus Bay
Harlingen;HRL;Valley International
Harrisburg;HSB;Raleigh
Harrisburg;MDT;Harrisburg Intl
Harrisburg;ZUG;Harrisburg Rail
Harrisburg;HAR;Harrisburg Skyport
Harrison;HRO;Boone County
Hartford;BNH;Barnes
Hartford;HFD;Brainard
Hartford;ZRT;Hartford CT Rail
Hartsville;HVS;Municipal
Hastings;HSI;Hastings
Hatteras;HNC;Hatteras
Hattiesburg;HBG;The Hattiesburg-Bobby L. Chain Mun.
Havasupai;HAE;Havasupai
Havre;HVR;City County
Hawk Inlet;HWI;SPB
Hawthorne;HHR;Hawthorne
Hawthorne;HTH;Hawthorne
Haycock;HAY;Haycock
Hayden;HDN;Yampa Valley
Hays;HYS;Municipal
Hayward;HWD;Air Terminal
Hayward;HYR;Municipal
Hazleton;HZL;Hazleton
Healy Lake;HKB;Healy Lake
Helena;HEE;Thompson-Robbins
Helena;HLN;Helena
Hemet;HMT;Ryan Field
Fletcher;AVL;Asheville Regional Airport
Herendeen;HED;Herendeen
Herlong;AHC;Amedee AAF
Hermiston;HES;State
Hickory;HKY;Hickory
Hidden Falls;HDA;Hidden Falls
High Point;GSO;Piedmont Triad Intl
Hill City;HLC;Hill City
Hillsboro;HIO;Portland
Hilo;ITO;Hilo International
Hilton Head;HHH;Hilton Head
Hinesville;LIY;Wright AAF
Hobart;HBR;Hobart
Hobart Bay;HBH;Hobart Bay
Hobbs;HBB;Industrial Airpark
Hobbs;HOB;Lea County
Hoffman;HFF;Mackall AAF
Hogatza;HGZ;Hogatza
Holdrege;HDE;Brewster Field
Holikachu;HOL;Holikachu
Holland;HLM;Park Township
Hollis;HYL;SPB
Hollister;HLI;Hollister
Hollywood;HWO;North Perry
Holy Cross;HCR;Holy Cross
Homer;HOM;Homer
Homeshore;HMS;Homeshore
Homestead;HST;AFB
Honolulu;HIK;Hickam AFB
Honolulu;HNL;International
Hoolehua;MKK;Molokai
Hoonah;HNH;Hoonah
Hooper Bay;HPB;Hooper Bay
Hopkinsville;HOP;Campbell AAF
Hoquiam;HQM;Bowerman
Hot Springs;HOT;Memorial Field
Hot Springs;HSP;Ingalls Field
Houghton;HTL;Roscommon County
Houlton;HUL;International
Houma;HUM;Terrebonne
Houston;AAP;Andrau Airpark
Houston;JDX;Central Bus. District
Houston;DWH;David Wayne Hooks
Houston;EFD;Ellington Field
Houston;IAH;George Bush Intercntl.
Houston;JGP;Greenway Plaza H/P
Houston;HOU;Hobby
Houston;JMA;Marriot Astrodome
Houston;JPT;Park Ten Heliport
Houston;SPX;Spaceland
Houston;JGQ;Transco Twr Galleria
Houston;IWS;West Houston
Houston;JWH;Westchase Hilton H/P
Houston;JWL;Woodlawns
Hudson;HCC;Columbia County
Hughes;HUS;Municipal
