,w_index,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Airport_Code,tavg_cat,prcp_cat,wspd_cat
142,DFW 2022-04-20,2022-04-20,23.3,18.3,32.8,0.0,0.0,179.0,37.1,,1008.8,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
143,DFW 2022-04-21,2022-04-21,25.7,22.8,30.0,0.0,0.0,167.0,29.9,,1015.1,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
144,DFW 2022-04-22,2022-04-22,25.1,21.7,30.0,0.0,0.0,161.0,32.0,,1016.5,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
145,DFW 2022-04-23,2022-04-23,24.5,21.1,28.9,0.0,0.0,170.0,36.4,,1009.7,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
146,DFW 2022-04-24,2022-04-24,24.3,15.0,27.8,10.4,0.0,175.0,25.9,,1009.5,,DFW,d) 20-30,c) 10-20,c) Moderate or Fresh Breeze
147,DFW 2022-04-25,2022-04-25,16.9,13.3,20.0,13.7,0.0,13.0,20.9,,1019.4,,DFW,c) 10-20,c) 10-20,c) Moderate or Fresh Breeze
148,DFW 2022-04-26,2022-04-26,16.5,10.0,23.9,0.0,0.0,53.0,11.5,,1025.6,,DFW,c) 10-20,a) 0-1,b) Light or Gentle Breeze
149,DFW 2022-04-27,2022-04-27,18.2,11.1,25.6,0.0,0.0,144.0,16.2,,1020.0,,DFW,c) 10-20,a) 0-1,b) Light or Gentle Breeze
150,DFW 2022-04-28,2022-04-28,21.9,17.2,27.8,0.0,0.0,160.0,24.1,,1012.4,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
151,DFW 2022-04-29,2022-04-29,24.3,21.1,28.3,0.0,0.0,175.0,31.7,,1006.1,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
152,DFW 2022-04-30,2022-04-30,25.3,17.2,29.4,0.0,0.0,302.0,20.2,,1008.6,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
153,DFW 2022-05-01,2022-05-01,22.2,14.4,29.4,0.0,0.0,92.0,14.4,,1013.4,,DFW,d) 20-30,a) 0-1,b) Light or Gentle Breeze
